Iter 870000,error 0.81
Iter 871000,error 0.801
Iter 872000,error 0.824
Iter 873000,error 0.805
Iter 874000,error 0.81
Iter 875000,error 0.806
Iter 876000,error 0.804
Iter 877000,error 0.804
Iter 878000,error 0.823
Iter 879000,error 0.802
Iter 880000,error 0.805
Iter 881000,error 0.814
Iter 882000,error 0.806
Iter 883000,error 0.804
Iter 884000,error 0.817
Iter 885000,error 0.839
Iter 886000,error 0.802
Iter 887000,error 0.805
Iter 888000,error 0.805
Iter 889000,error 0.802
Iter 890000,error 0.804
Iter 891000,error 0.804
Iter 892000,error 0.811
Iter 893000,error 0.805
Iter 894000,error 0.812
Iter 895000,error 0.806
Iter 896000,error 0.804
Iter 897000,error 0.813
Iter 898000,error 0.811
Iter 899000,error 0.804
Iter 900000,error 0.804
Iter 901000,error 0.807
Iter 902000,error 0.808
Iter 903000,error 0.806
Iter 904000,error 0.808
Iter 905000,error 0.809
Iter 906000,error 0.807
Iter 907000,error 0.825
Iter 908000,error 0.804
Iter 909000,error 0.809
Iter 910000,error 0.809
Iter 911000,error 0.805
Iter 912000,error 0.813
Iter 913000,error 0.803
Iter 914000,error 0.814
Iter 915000,error 0.803
Iter 916000,error 0.801
Iter 917000,error 0.802
Iter 918000,error 0.808
Iter 919000,error 0.806
Iter 920000,error 0.805
Iter 921000,error 0.818
Iter 922000,error 0.812
Iter 923000,error 0.804
Iter 924000,error 0.805
Iter 925000,error 0.813
Iter 926000,error 0.8
Iter 927000,error 0.8
Iter 928000,error 0.801
Iter 929000,error 0.809
Iter 930000,error 0.81
Iter 931000,error 0.804
Iter 932000,error 0.801
Iter 933000,error 0.816
Iter 934000,error 0.8
Iter 935000,error 0.831
Iter 936000,error 0.815
Iter 937000,error 0.802
Iter 938000,error 0.803
Iter 939000,error 0.813
Iter 940000,error 0.82
Iter 941000,error 0.815
Iter 942000,error 0.801
Iter 943000,error 0.8
Iter 944000,error 0.821
Iter 945000,error 0.8
Iter 946000,error 0.816
Iter 947000,error 0.807
Iter 948000,error 0.801
Iter 949000,error 0.81
Iter 950000,error 0.802
Iter 951000,error 0.811
Iter 952000,error 0.799
Iter 953000,error 0.822
Iter 954000,error 0.801
Iter 955000,error 0.801
Iter 956000,error 0.802
Iter 957000,error 0.81
Iter 958000,error 0.809
Iter 959000,error 0.8
Iter 960000,error 0.8
Iter 961000,error 0.809
Iter 962000,error 0.799
Iter 963000,error 0.8
Iter 964000,error 0.822
Iter 965000,error 0.801
Iter 966000,error 0.806
Iter 967000,error 0.804
Iter 968000,error 0.802
Iter 969000,error 0.811
Iter 970000,error 0.815
Iter 971000,error 0.816
Iter 972000,error 0.801
Iter 973000,error 0.799
Iter 974000,error 0.797
Iter 975000,error 0.805
Iter 976000,error 0.816
Iter 977000,error 0.82
Iter 978000,error 0.807
Iter 979000,error 0.799
